Element,Wraps,Description
nvinferbin,:doc:`DS_plugin_gst-nvinfer`,Ready-to-use inference bin using the TensorRT-based nvinfer element for primary/secondary detection or classification.
nvinferserverbin,:doc:`DS_plugin_gst-nvinferserver`,Ready-to-use inference bin using the Triton-based nvinferserver element.
nvosdbin,:doc:`DS_plugin_gst-nvdsosd`,"Ready-to-use bin for drawing bounding boxes, text, and other on-screen display overlays."
nvdewarperbin,:doc:`DS_plugin_gst-nvdewarper`,Ready-to-use bin for dewarping fisheye or 360-degree camera input.
nvtilerbin,:doc:`DS_plugin_gst-nvmultistreamtiler`,Ready-to-use bin for tiling multiple streams into a single composited output for display.
nvtrackerbin,:doc:`DS_plugin_gst-nvtracker`,Ready-to-use bin for object tracking across frames.
nvcamerasrcbin,N/A (source bin),Ready-to-use bin for capturing input from a connected camera source.
nvanalyticsbin,:doc:`DS_plugin_gst-nvdsanalytics`,"Ready-to-use bin for ROI filtering, line crossing, direction detection, and overcrowding analytics."
nvvideorenderersinkbin,N/A (sink bin),Ready-to-use bin for rendering the composited video output to a display.
nvvideoencfilesinkbin,N/A (sink bin),Ready-to-use bin for encoding video and writing the result to a file.
nvrtspoutsinkbin,N/A (sink bin),Ready-to-use bin for streaming the pipeline output over RTSP.
nvmsgbrokersinkbin,":doc:`DS_plugin_gst-nvmsgconv` + :doc:`DS_plugin_gst-nvmsgbroker`",Ready-to-use bin for converting and publishing metadata to a message broker.
nvdsbuffersyncbin,N/A (utility bin),Ready-to-use bin for synchronizing buffers across multiple pipeline branches.
