Property,Meaning,Type and Range,Example
gpu-id,GPU to be used for processing,Integer,gpu-id: 0
process-mode,Mode of operation Full Frame (Primary 1) or on Object (Secondary 2),"Integer 1=Primary(On Full Frame) ,2=Secondary (On Object)",process-mode: 1
gie-unique-id,Perform tensor meta parsing on output of gie-unique-id ,Integer >0,gie-unique-id: 1
num-detected-classes,Number of classes detected by Detector network,Integer >0,num-detected-classes: 4
cluster-mode,Clustering mode to be used on detector output,Integer 1=DBSCAN 2=NMS 3=DBSCAN+NMS Hybrid 4=None(No Clustering),cluster-mode: 2
output-blob-names,Array of output layer names which are to be parsed,String delimited by semicolon,output-blob-names: conv2d_bbox;conv2d_cov/Sigmoid
network-type,Type of network to be parsed,Integer 0=Detector 1=Classifier,network-type: 1
labelfile-path,Pathname of a text file containing the labels for the model,String,labelfile-path: /opt/nvidia/deepstream/deepstream/samples/models/Primary_Detector/labels.txt
classifier-threshold,Minimum threshold label probability. The GIE outputs the label having the highest probability if it is greater than this threshold,"Float, >0.0",classifier-threshold: 0.4
operate-on-gie-id,"Unique ID of the GIE on whose metadata (bounding boxes) this GIE is to operate on, applicable for process-mode=2",Integer >0,operate-on-gie-id: 1
parse-classifier-func-name,"Name of the custom classifier output parsing function. If not specified, post process lib uses the parsing function for softmax layers.",String,parse-classifier-func-name: NvDsPostProcessClassiferParseCustomSoftmax 
parse-bbox-func-name,"Name of the custom bounding box parsing function. If not specified, post process lib uses the  function for the resnet model provided by the SDK",String,parse-bbox-func-name: NvDsPostProcessParseCustomResnet
