Key,Meaning,Type and Value,Example,Platforms/ GIEs*
enable,Indicates whether the primary GIE must be enabled.,Boolean,enable=1,"dGPU, Jetson
Both GIEs"
gie-unique-id,Unique component ID to be assigned to the nvinfer instance. Used to identify metadata generated by the instance.,"Integer, >0",gie-unique-id=2,Both
gpu-id,GPU to be used by the element in case of multiple GPUs.,"Integer, ≥0",gpu-id=1,"dGPU, Both GIEs"
model-engine-file,Absolute pathname of the pre-generated serialized engine file for the mode.,String,model-engine-file=­../../models/­Primary_Detector/­resnet18_trafficcamnet_pruned.onnx_b4_gpu0.engine,Both GIEs
nvbuf-memory-type,"Type of CUDA memory element is to allocate for output buffers.

0 (nvbuf-mem-default): a platform-specific default

1 (nvbuf-mem-cuda-pinned): pinned/host CUDA memory

2 (nvbuf-mem-cuda-device): Device CUDA memory

3 (nvbuf-mem-cuda-unified): Unified CUDA memory

For dGPU: All values are valid.

For Jetson: Only 0 (zero) is valid.","Integer,
0, 1, 2, or 3",nvbuf-memory-type=3 ,"dGPU, Jetson
Primary GIE"
config-file,"Pathname of a configuration file which specifies properties for the Gst-nvinfer plugin. It may contain any of the properties described in this table except config-file itself. Properties must be defined in a group named [property].
For more details about parameters see “Gst-nvinfer File Configuration Specifications” in the DeepStream 4.0 Plugin Manual.",String,"config-file=¬/home/-ubuntu/-config_infer_resnet.txt
For complete examples, see the sample file samples/¬configs/-deepstream-app/-config_infer_resnet.txt or the deepstream-test2 sample application.","dGPU, Jetson
Both GIEs"
batch-size,The number of frames(P.GIE)/objects(S.GIE) to be inferred together in a batch.,"Integer, >0 Integer, >0",batch-size=2,"dGPU, Jetson
Both GIEs"
interval,Number of consecutive batches to skip for inference.,"Integer, >0 Integer, >0",interval=2,"dGPU, Jetson
Primary GIE"
bbox-border-color,"The color of the borders for the objects of a specific class ID, specified in RGBA format. The key must be of format bbox-border-color<class-id>. This property can be identified multiple times for multiple class IDs. If this property is not identified for the class ID, the borders are not drawn for objects of that class-id.","R:G:B:A Float,
0≤R,G,B,A≤1","bbox-border-color2=
1;0;0;1
(Red for class-id 2)","dGPU, Jetson
Both GIEs"
bbox-bg-color,"The color of the boxes drawn over objects of a specific class ID, in RGBA format. The key must be of format bbox-bg-color<class-id>. This property can be used multiple times for multiple class IDs. If it is not used for a class ID, the boxes are not drawn for objects of that class ID.","R:G:B:A Float,
0≤R,G,B,A≤1","bbox-bg-color3=-0;1;0;0.3
(Semi-transparent green for class-id 3)","dGPU, Jetson
Both GIEs"
operate-on-gie-id,"A unique ID of the GIE, on whose metadata (NvDsFrameMeta) this GIE is to operate.","Integer, >0",operate-on-gie-id=1,"dGPU, Jetson Secondary GIE"
operate-on-class-ids,Class IDs of the parent GIE on which this GIE must operate. The parent GIE is specified using operate-on-gie-id.,Semicolon separated integer array,"operate-on-class-ids=1;2
(operate on objects with class IDs 1, 2 generated by parent GIE)","dGPU, Jetson
Secondary GIE"
infer-raw-output-dir,Pathname of an existing directory in which to dump the raw inference buffer contents in a file.,String,infer-raw-output-dir=­/home/­ubuntu/­infer_raw_out,"dGPU, Jetson
Both GIEs"
labelfile-path,Pathname of the labelfile.,String,labelfile-path=../../models/Primary_Detector/labels.txt,"dGPU, Jetson
Both GIEs"
plugin-type,"Plugin to use for inference.
0: nvinfer (TensorRT)
1: nvinferserver (Triton inference server)","Integer,
0 or 1",plugin-type=1,"dGPU, Jetson
Both GIEs"
input-tensor-meta, "Use preprocessed input tensors attached as metadata by nvdspreprocess plugin instead of preprocessing inside the nvinfer.","Integer, 0 or 1","input-tensor-meta=1","dGPU, Jetson, Primary GIE"
