Key,Meaning,Type and Value,Example,Platforms
enable,Enables or disables the source.,Boolean,enable=1,"dGPU, Jetson"
type,"Type of source; other properties of the source depend on this type.

1: Camera (V4L2)

2: URI

3: MultiURI

4: RTSP

5: Camera (CSI) (Jetson only)","Integer,
1, 2, 3, 4, or 5",type=1,"dGPU, Jetson"
uri,"URI to the encoded stream. The URI can be a file, an HTTP URI, or an RTSP live source. Valid when type=2 or 3. With MultiURI, the %d format specifier can also be used to specify multiple sources. The application iterates from 0 to num-sources−1 to generate the actual URIs.",String,"uri=file:///home/ubuntu/source.mp4
uri=http://127.0.0.1/source.mp4
uri=rtsp://127.0.0.1/source1
uri=file:///home/ubuntu/source_%d.mp4","dGPU, Jetson"
num-sources,Number of sources. Valid only when type=3.,"Integer, ≥0",num-sources=2,"dGPU, Jetson"
intra-decode-enable,Enables or disables intra-only decode.,Boolean,intra-decode-enable=1,"dGPU, Jetson"
num-extra-surfaces,Number of surfaces in addition to minimum decode surfaces given by the decoder. Can be used to manage the number of decoder output buffers in the pipeline.,"Integer,
≥0 and ≤24",num-extra-surfaces=5,"dGPU, Jetson"
gpu-id,GPU to be used by the element in case of multiple GPUs.,"Integer, ≥0",gpu-id=1,dGPU
camera-id,Unique ID for the input source to be added to metadata. (Optional),"Integer, ≥0",camera-id=2,"dGPU, Jetson"
camera-width,"Width of frames to be requested from the camera, in pixels. Valid when type=1 or 5.","Integer, >0",camera-width=1920,"dGPU, Jetson"
camera-height,"Height of frames to be requested from the camera, in pixels. Valid when type=1 or 5.","Integer, >0",camera-height=1080,"dGPU, Jetson"
camera-fps-n,"Numerator part of a fraction specifying the frame rate requested by the camera, in frames/sec. Valid when type=1 or 5.","Integer, >0",camera-fps-n=30,"dGPU, Jetson"
camera-fps-d,"Denominator part of a fraction specifying the frame rate requested from the camera, in frames/sec. Valid when type=1 or 5.","Integer, >0",camera-fps-d=1,"dGPU, Jetson"
camera-v4l2-dev-node,"Number of the V4L2 device node. For example, /dev/video<num> for the open source V4L2 camera capture path. Valid when the type setting (type of source) is 1.","Integer, >0",camera-v4l2-dev-node=1,"dGPU, Jetson"
latency,Jitterbuffer size in milliseconds; applicable only for RTSP streams.,"Integer, ≥0",latency=200,"dGPU, Jetson"
camera-csi-sensor-id,Sensor ID of the camera module. Valid when the type (type of source) is 5.,"Integer, ≥0",camera-csi-sensor-id=1,Jetson
drop-frame-interval,"Interval to drop frames. For example, 5 means decoder outputs every fifth frame; 0 means no frames are dropped.","Integer,",drop-frame-interval=5,"dGPU, Jetson"
