"TAO 3.0 Model
Architecture",Location,Reference app,Config file,DS Version
YoloV3,`LINK <https://nvidia.box.com/s/taqr2y52go17x1ymaekmg6dh8z6d43wr>`__,https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps,`yolov3_tao <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/configs/nvinfer>`_,DS5.0 onwards
YoloV4,`LINK <https://nvidia.box.com/s/taqr2y52go17x1ymaekmg6dh8z6d43wr>`__,https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps,`yolov4_tao <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/configs/nvinfer>`_,DS5.0 onwards
YoloV4-tiny,`LINK <https://nvidia.box.com/s/taqr2y52go17x1ymaekmg6dh8z6d43wr>`__,https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps,`yolov4-tiny_tao <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/configs/nvinfer>`_,DS6.0 onwards
RetinaNet,`LINK <https://nvidia.box.com/s/taqr2y52go17x1ymaekmg6dh8z6d43wr>`__,https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps,`retinanet_tao <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/configs/nvinfer>`_,DS5.0 onwards
SSD,`LINK <https://nvidia.box.com/s/taqr2y52go17x1ymaekmg6dh8z6d43wr>`__,https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps,`ssd_tao <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/configs/nvinfer>`_,DS5.0 onwards
DSSD,`LINK <https://nvidia.box.com/s/taqr2y52go17x1ymaekmg6dh8z6d43wr>`__,https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps,`dssd_tao <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/configs/nvinfer>`_,DS5.0 onwards
FasterRCNN,`LINK <https://nvidia.box.com/s/taqr2y52go17x1ymaekmg6dh8z6d43wr>`__,https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps,`frcnn_tao <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/configs/nvinfer>`_,DS5.0 onwards
UNET,`LINK <https://nvidia.box.com/s/taqr2y52go17x1ymaekmg6dh8z6d43wr>`__,https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps,`unet_tao <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/configs/nvinfer>`_,DS5.1 onwards
PeopleSegNet,`LINK <https://catalog.ngc.nvidia.com/orgs/nvidia/teams/tao/models/peoplesegnet>`__,https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps,`peopleSegNet_tao <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/configs/nvinfer>`_,DS5.0 onwards
EfficientDet,`LINK <https://nvidia.box.com/s/taqr2y52go17x1ymaekmg6dh8z6d43wr>`__,https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps,`efficientdet_tao <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/configs/nvinfer>`_,DS6.0 onwards
Multi_Task,`LINK <https://docs.nvidia.com/tao/tao-toolkit/text/multitask_image_classification.html>`__,https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps,`multi_task_tao <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/configs/nvinfer>`_,DS6.0 onwards
YoloV5,`LINK <https://github.com/NVIDIA-AI-IOT/yolov5_gpu_optimization>`__,https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps,`yolov5_tao <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/configs/nvinfer>`_,DS6.1 onwards
