Pre-Trained model,DeepStream reference app,Config files,DLA supported
`TrafficCamNet <https://ngc.nvidia.com/catalog/models/nvidia:tao:trafficcamnet>`_,deepstream-app,"``deepstream_app_source1_trafficcamnet.txt``, ``config_infer_primary_trafficcamnet.txt``, ``labels_trafficnet.txt``",Yes
`PeopleNet <https://ngc.nvidia.com/catalog/models/nvidia:tao:peoplenet>`_,deepstream-app,"``deepstream_app_source1_peoplenet.txt``, ``config_infer_primary_peoplenet.txt``, ``labels_peoplenet.txt``",Yes
`PointPillarNet <https://catalog.ngc.nvidia.com/orgs/nvidia/teams/tao/models/pointpillarnet>`_,deepstream-lidar-inference-app,"``config_lidar_triton_infer.yaml``",No
`VehicleMakeNet <https://ngc.nvidia.com/catalog/models/nvidia:tao:vehiclemakenet>`_,deepstream-app,"``deepstream_app_source1_dashcamnet_vehiclemakenet_vehicletypenet.txt``, ``config_infer_secondary_vehiclemakenet.txt``, ``labels_vehiclemakenet.txt``",Yes
`VehicleTypeNet <https://ngc.nvidia.com/catalog/models/nvidia:tao:vehicletypenet>`_,deepstream-app,"``deepstream_app_source1_dashcamnet_vehiclemakenet_vehicletypenet.txt``, ``config_infer_secondary_vehicletypenet.txt``, ``labels_vehicletypenet.txt``",Yes
`CitySemSegFormer <https://catalog.ngc.nvidia.com/orgs/nvidia/teams/tao/models/citysemsegformer>`_,`deepstream_tao_apps <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/apps/tao_segmentation>`_,"``seg_app_unet.yml``, ``pgie_citysemsegformer_tao_config.txt``",Yes
`License Plate Detection <https://ngc.nvidia.com/catalog/models/nvidia:tao:lpdnet>`_,`deepstream_tao_apps <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/apps/tao_others>`__,,No
`License Plate Recognition <https://ngc.nvidia.com/catalog/models/nvidia:tao:lprnet>`_,`deepstream_tao_apps <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/apps/tao_others>`__,,No
`PoseClassificationNet <https://catalog.ngc.nvidia.com/orgs/nvidia/teams/tao/models/poseclassificationnet>`_,`deepstream_tao_apps <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/apps/tao_others>`__,,No
`BodyPose3DNet <https://registry.ngc.nvidia.com/orgs/nvstaging/teams/tao/models/bodypose3dnet>`_,`deepstream_tao_apps <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/apps/tao_others>`__,,No
`Retail Object Recognition <https://catalog.ngc.nvidia.com/orgs/nvidia/teams/tao/models/retail_object_recognition>`_,`deepstream_tao_apps <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/apps/tao_others>`__,,No
`Retail Object Detection <https://catalog.ngc.nvidia.com/orgs/nvidia/teams/tao/models/retail_object_detection>`_,`deepstream_tao_apps <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/apps/tao_others>`__,,No
`PeopleNet Transformer Model <https://catalog.ngc.nvidia.com/orgs/nvidia/teams/tao/models/peoplenet_transformer>`_,`deepstream_tao_apps <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/apps/tao_others>`__,,No
`ReIdentificationNet <https://catalog.ngc.nvidia.com/orgs/nvidia/teams/tao/models/reidentificationnet>`_,`deepstream_tao_apps <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/apps/tao_others>`__,,No
`Optical Character Detection <https://catalog.ngc.nvidia.com/orgs/nvidia/teams/tao/models/ocdnet>`_,`deepstream_tao_apps <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/apps/tao_others>`__,,No
`Optical Character Recognition <https://catalog.ngc.nvidia.com/orgs/nvidia/teams/tao/models/ocrnet>`_,`deepstream_tao_apps <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/apps/tao_others>`__,,No
`PeopleNet Transformer <https://catalog.ngc.nvidia.com/orgs/nvidia/teams/tao/models/peoplenet_transformer>`_,`deepstream_tao_apps <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/apps/tao_detection>`__,"``det_app_frcnn.yml``, ``pgie_peoplenet_transformer_tao_config.yml``",No
`Mask2Former <https://catalog.ngc.nvidia.com/orgs/nvidia/teams/tao/models/mask2former>`_,`deepstream_tao_apps <https://github.com/NVIDIA/DeepStream/tree/main/src/apps/tao_apps/apps/tao_detection>`__,"``ins_seg_app.yml``, ``pgie_mask2former_tao_config.yml``",No
