Group,Property,Meaning,Type and Range,Example
LidarFileLoader,data_config_file,lidar data list file path,string,data_config_file: lidar_data_list.yaml
LidarFileLoader,points_num,number of the points in pointcloud file,fixed value,points_num: 204800
LidarFileLoader,lidar_datatype,data type of the dataset,String:FP32 FP16 INT8 INT32,lidar_datatype: FP32
LidarFileLoader,mem_type,memory type of process data:just support cpu now,String:gpu cpu,mem_type: cpu
LidarFileLoader,mem_pool_size,Size of the data read pool,Integer: >0,mem_pool_size: 4
LidarFileLoader,output_datamap_key,datamap key in lidarsource,string,output_datamap_key: DS3D::LidarXYZI
LidarFileLoader,file_loop,flag for file reading loop,boolean,file_loop: False
LidarInferenceFilter,in_streams,which data type will be processed,fixed value,in_streams: [lidar]
LidarInferenceFilter,mem_pool_size,Size of the input tensor pool,Integer,mem_pool_size: 8
LidarInferenceFilter,model_inputs,model 's input layers,Array,refer to config_lidar_triton_infer.yaml
LidarInferenceFilter,model_outputs,model 's output layers,Array,refer to config_lidar_triton_infer.yaml
LidarInferenceFilter,input_tensor_mem_type,input tensor memory type after preprocess,String:GpuCuda CpuCuda,input_tensor_mem_type: GpuCuda
LidarInferenceFilter,custom_preprocess_lib_path,preprocessing library path,String,custom_preprocess_lib_path: /opt/nvidia/deepstream/deepstream/lib/libnvds_lidar_custom_preprocess_impl.so
LidarInferenceFilter,custom_preprocess_func_name,customized preprocessing function name,String,custom_preprocess_func_name: CreateInferServerCustomPreprocess
LidarInferenceFilter,labels,label list for the detection model,Array,refer to config_lidar_triton_infer.yaml
LidarInferenceFilter,postprocess_nms_iou_thresh,NMS IOU threshold,Float,postprocess_nms_iou_thresh: 0.01
LidarInferenceFilter,postprocess_pre_nms_top_n,number of TOPs of NMS,Integer,postprocess_nms_top_n: 4096
LidarInferenceFilter,config_file,nvinferserver configuration file,String,config_file: triton_mode_CAPI.txt
LidarInferenceFilter,gpu_id,GPU id for the tensor memory(for native Triton Server Inferencing),Integer,gpu_id: 0
LidarInferenceFilter,filter_input_datamap_key,input datamap key from lidarsource,String,filter_input_datamap_key: DS3D::LidarXYZI
LidarFileDataRender,frames_save_path,the path of the dump file,String,frames_save_path: ../data/
LidarFileDataRender,input_datamap_key,input key from the custom_postprocess for inferencing objects,String,input_datamap_key: DS3D::Lidar3DBboxRawData
LidarDataRender,title,the title of the render,String,title: ds3d-lidar-render
LidarDataRender,streams,the stream key(s) for the input to be rendered,List,streams: [lidardata]
LidarDataRender,width,render area width,Integer,width: 1280
LidarDataRender,height,render area height,Integer,height: 720
LidarDataRender,block,the flag of enabling block function,Boolean,block: True
LidarDataRender,view_position,the view position for lookat vector,List,"view_position: [0, 0, 80]"
LidarDataRender,view_target,the view target for lookat vector,List,"view_target: [0, 0, 0]"
LidarDataRender,view_up,the up vector of the visualizer,List,"view_up: [1, 0, 0]"
LidarDataRender,near,the near z-plane of the visualizer constants,Float,near: 0.3
LidarDataRender,far,the far z-plane of the visualizer constants,Float,far: 100
LidarDataRender,fov,degree for field of view,Integer,fov: 45
LidarDataRender,lidar_color,the RGB color description of the lidar data,"List,lidar_color: [0, 255, 0]",
LidarDataRender,lidar_data_key,the lidar data key name in datamap,String,lidar_data_key: DS3D::LidarXYZI
LidarDataRender,element_size,"the lidar data element size (4, XYZI or 3, XYZ)",Integer,element_size: 4
LidarDataRender,lidar_bbox_key,the 3D bbox data key name in datamap,String,DS3D::Lidar3DBboxRawData
LidarDataRender,enable_label,Indicate flag to enable labels rendering,Boolean,enable_label: True
