,,,,,RTX PRO 4500 BSE,RTX PRO 6000 WS,RTX PRO 6000 BSE,L40s,B200, GB200
Model Arch,Inference resolution,Precision,"Inference
Engine",Tracker,"GPU
(FPS)","GPU
(FPS)","GPU
(FPS)","GPU
(FPS)","GPU
(FPS)","GPU
(FPS)"
C-RADIO-B,3*224*224,FP16,TRT,No Tracker,2182,4720,4241,2969,10023,11180
C-RADIO-L,3*224*224,FP16,TRT,No Tracker,668,1542,1998,1355,3841,4362
NV-DinoV2-L,3*224*224,FP16,TRT,No Tracker,534,1369,1728,1027,3666,4067
RT-DETR,3*640*640,FP16,TRT,No Tracker,380,1063,1037,643,1448,1541
RT-DETR,3*640*640,FP16,TRT,NvDCF Tracker,379,1024,946,642,1417,1529
RT-DETR (warehouse),3*544*960,FP16,TRT,MV3DT Tracker,259,660,538,267,955,1238
Peoplenet 2.6.3,3*640*640,FP16,TRT,MV3DT Tracker,741,1899,1524,1114,3572,3432
Peoplenet Transformer,3*544*960,FP16,TRT,MV3DT Tracker,85,224,205,142,243,279
Grounding-DINO,3*544*960,FP16,TRT,No Tracker,69,178,159,107,216,235
TrafficCamNet Transformer Lite,3*544*960,FP16,TRT,NvDCF Tracker,373,994,920,643,2104,2215
SegFormer,3*640*640,FP16,TRT,No Tracker,633,1348,1291,986,1290,1532
Mask2Former + SWIN,3*800*800,FP16,TRT,No Tracker,68,118,108,75,116,285
MaskGroundingDINO V2,3*544*960,FP16,TRT,No Tracker,69,180,159,107,218,236
