Property,Property Type,Meaning,Type and Range,Example Notes
output-width,Global,Scale dewarped surfaces to specified output width,"Integer, >0",output-width=960
output-height,Global,Scale dewarped surfaces to specified output height,"Integer, >0",output-height=752
dewarp-dump-frames,Global,Number of dewarped frames to dump.,"Integer, >0",dewarp-dump-frames=10
num-batch-buffers,Global,"Number of dewarped output surfaces per buffer, i.e batch-size of the buffer.","Integer,
0 to 4",num-batch-buffers=4
projection-type,Surface,"Selects projection type. Supported types are:
 
  | 1: Fisheye to PushBroom
  | 2: Fisheye to Vertical Radial Cylindrical
  | 3: Perspective to Perspective
  | 4: Fisheye to Perspective
  | 5: Fisheye to Fisheye
  | 6: Fisheye to Cylindrical
  | 7: Fisheye to Equirectangular
  | 8: Fisheye to Panini
  | 9: Perspective to Equirectangular
  | 10: Perspective to Panini
  | 11: Equirectangular to Cylindrical
  | 12: Equirectangular to Equirectangular
  | 13: Equirectangular to Fisheye
  | 14: Equirectangular to Panini
  | 15: Equirectangular to Perspective
  | 16: Equirectangular to PushBroom
  | 17: Equirectangular to Stereographic
  | 18: Equirectangular to Vertical Radial Cylindrical","Integer, 1 to 18",projection-type=1
surface-index,Surface,An index that distinguishes surfaces of the same projection type.,"Integer, ≥0",surface-index=0
width,Surface,Dewarped surface width.,"Integer, >0",width=3886
height,Surface,Dewarped surface height.,"Integer, >0",height=666
top-angle,Surface,"Top field of view angle, in degrees.","Float, −180.0 to 180.0",top-angle=0
bottom-angle,Surface,"Bottom field of view angle, in degrees.","Float, −180.0 to 180.0",bottom-angle=0
pitch,Surface,Viewing parameter pitch in degrees.,"Float, 0.0 to 360.0",pitch=90
yaw,Surface,Viewing parameter yaw in degrees.,"Float, 0.0 to 360.0",yaw=0
roll,Surface,Viewing parameter roll in degrees.,"Float, 0.0 to 360.0",roll=0
focal-length,Surface,"Focal length of camera lens, in pixels per radian. Can be specified as :
 
 | fxy : single float value 
 | <fx, fy> : array of two float values corresponding to focal lengths in x and y direction respectively","Floats, >0.0","focal-length=437 OR 
focal-length=442.63;395.106339"
src-fov,Surface,Source vertical field of view in degrees. Used to compute the source focal-length if the latter is not provided.,"Float, >0.0",src-fov=180
distortion,Surface,"Distortion coefficients in the distortion polynomial for a fisheye/perspective source.

For perspective source :

  | Three radial coefficients:

  | ``(k_0,k_1,k_2): r^'=r(1+k_0 r^2+k_1 r^4+k_2 r^6 )``

  | Two tangential coefficients:

  | ``(k_3,k_4):x'=x+[1+2k_3 xy+k_4 (r^2 + 2x^2)]``

  | ``y^'=y+[ k_3 (r^2+2y^2+2k_4 xy)]``

For fisheye source :

Four radial coefficients 

  | ``(k_0,k_1,k_2, k_3): r^'=r(1+k_0 r^2+k_1 r^4+k_2 r^6+k_3 r^8 )``",Array of 4/5 floats,"distortion=

-0.3721;0.1023;-0.00203;0;0

``distortion=k_0,;k_1,;k_2;k_3;k_4``

If not provided, all coefficients are set to 0 (no distortion)"
src-x0,Surface,"The X coordinate of the center of projection of the source image, in pixel coordinates.

Typically, it is (srcWidth-1)/2, but may be different if the image is calibrated or wraps around.","Float, ≥0","src-x0=479.5

If not provided, will take its default value = 

(srcWidth-1)/2"
src-y0,Surface,"The Y coordinate of the center of projection of the source image, in pixel coordinates.

Typically, it is (srcHeight-1)/2, but may be different if the image is calibrated or wraps around.","Float, ≥0","src-y0=375.5

If not provided, will take its default value = 

(srcHeight-1)/2"
cuda-address-mode,Surface,"Cuda Texture addressing mode. 
Currently supports:

  | 0: cudaAddressModeClamp (Default) - sets points outside of border to nearest pixel value

  | 1: cudaAddressModeBorder - sets points outside of border to transparent black","Integer, 0 or 1","cuda-address-mode=

­1"
aisle-calibration-file,Global,"Pathname of the configuration file for aisle view. 

Set for the 360 D application only for PushBroom and/or VertRadCyl projection types.

If set, properties in the [surface<n>] group are ignored.
The configuration file is a CSV file with columns like sensorId and cameraId, and dewarping parameters like top-angle, bottom-angle, yaw, roll, pitch, focal-length, width, and height.",String,"aisle-calibration-file=

­csv_files/­nvaisle_2M.csv"
spot-calibration-file,Global,"Pathname of the configuration file for spot view. 

Set for the 360 D application only for PushBroom and/or VertRadCyl projection types.

If set, properties in the [surface<n>] group are ignored.
The configuration file is a CSV file with columns like sensorId and cameraId, and dewarping parameters like top-angle, bottom-angle, yaw, roll, pitch, focal-length, width, and height.",String,"spot-calibration-file=

­csv_files/-nvspot_2M.csv
For an example of a spot view configuration file, see the file in the example above."
rot-axes,Surface,"A three-character string that specifies the sequence of application of rotation angles.

Possible values are : XYZ, XZY, YXZ, YZX, ZXY, ZYX where : 
 
 X corresponds to pitch, 
 
 Y corresponds to yaw and 
 
 Z corresponds to roll.

Default sequence of rotation is YXZ",String of three characters," ""rot-axes=ZXY"""
control,Surface,"A control parameter to vary the amount of warp. Applicable for Panini, Stereographic and Pushbroom projections.",Float,"control=1.0.

control=0 is identical to perspective output."
rot-matrix,Surface,"Configures the rotation as a 3X3 rotation matrix. The matrix is specified in a right-handed screen space, with X to the right, Y downwards and Z outwards.

If specified, this setting will override yaw, pitch, roll settings.",Array of 9 floats,"
rot-matrix=0.5;-0.86;0;0.86;0.5;0;0;0.0;1.0"
dst-focal-length,Surface,"Sets destination image focal length.
Can be specified as :

 | fxy : single float value 
 | <fx, fy> : array of two float values
 
If specified, this setting will override top-angle, bottom-angle settings.","Floats, >0.0",dst-focal-length=350;316
dst-principal-point,Surface,"Set the X coordinate and Y coordinate in pixels of the principal point in destination image

If specified, this setting will override top-angle, bottom-angle settings.","Float, >0.0",dst-principal-point=521.02;257.37
