Property,Meaning,Type and Range,Example
enable,If set then to enable the plugin else in passthrough mode,Boolean,enable=1
unique-id,Uniquely identify the metadata generated by this element,"Integer, | 0 to 4,294,967,295",unique-id=1
gpu-id,Device ID of GPU to use for pre-processing (dGPU only),"Integer,0-4,294,967,295",gpu-id=1
process-on-frame,"Preprocessing Modes 1=PGIE Mode 0=SGIE Mode",Boolean,process-on-frame=1
target-unique-ids,List of component gie-id for which tensor is prepared,Semicolon delimited integer(gie-ids) array of values >=0,target-unique-ids=3;4;5
operate-on-gie-id,Unique gie-id whose metadata is to be preprocessed (ignored if process-on-frame enabled),"Integer, 0 to 4,294,967,295",operate-on-gie-id=1
network-input-order,Order of the network input layer,Integer 0=NCHW 1=NHWC 2=CUSTOM,network-input-order=0
network-input-shape,Tensor shape of network input layer as per network-input-order,Semicolon delimited integer array of values > 0,network-input-shape=60;3;368;640
maintain-aspect-ratio,If set then maintain the aspect ratio while scaling,Boolean,maintain-aspect-ratio
symmetric-padding,If set then pad symmetrically (ignored if maintain-aspect-ratio disabled),Boolean,symmetric-padding
processing-width,Width at which ROIs scaled,Integer>0,processing-width=640
processing-height,Height at which ROIs scaled,Integer>0,processing-height=368
scaling-buf-pool-size,Size of scaling buffer pool,Integer>0,scaling-buf-pool-size=6
tensor-buf-pool-size,Size of tensor buffer pool,Integer>0,tensor-buf-pool-size=6
network-color-format,Color format of model,Integer 0=RGB 1=BGR 2=GRAY,network-color-format=0
tensor-data-type,Data format for inference,Integer 0=FP32 1=UINT8 2=INT8 3=UINT32 4=INT32 5=INT64 6=UINT64 7=FP16,tensor-data-type=0
tensor-name,Network input layer name,String,tensor-name=input_1:0
scaling-pool-memory-type,Memory type for scaling buffer pool,Integer  0=NVBUF_MEM_DEFAULT 1=NVBUF_MEM_CUDA_PINNED 2=NVBUF_MEM_CUDA_DEVICE 3=NVBUF_MEM_CUDA_UNIFIED 4=NVBUF_MEM_SURFACE_ARRAY, scaling-pool-memory-type=2
scaling-pool-compute-hw,Type of computing hardware for scaling,Integer 0=NvBufSurfTransformCompute_Default 1=NvBufSurfTransformCompute_GPU 2=NvBufSurfTransformCompute_VIC,scaling-pool-compute-hw=0
scaling-filter,Scaling interpolation method,Integer 0=NvBufSurfTransformInter_Nearest 1=NvBufSurfTransformInter_Bilinear 2=NvBufSurfTransformInter_Algo 3=NvBufSurfTransformInter_Algo2 4=NvBufSurfTransformInter_Algo3 5=NvBufSurfTransformInter_Algo4 6=NvBufSurfTransformInter_Default,scaling-filter=0
custom-lib-path,Path of custom library .so file,String,custom-lib-path=/opt/nvidia/deepstream/deepstream/lib/gst-plugins/libcustom2d_preprocess.so
custom-tensor-preparation-function,Name of tensor preparation function from custom lib,String,custom-tensor-preparation-function=CustomTensorPreparation
