Property,Meaning,Type and Range,"Example
Notes","| Network Types
| / Applicable to GIEs 
| (Primary/­Secondary)",,
num-detected-classes,Number of classes detected by the network,"Integer, >0",num-detected-classes=­91,"Detector

Both",,
net-scale-factor,Pixel normalization factor (ignored if input-tensor-meta enabled),"Float, >0.0",net-scale-factor=­0.031,"All

Both",,
model-file,Pathname of the model file. Not required if model-engine-file is used,String,"model-file=

/home/­ubuntu/­model","All

Both",,
proto-file,Pathname of the prototxt file. Not required if model-engine-file is used,String,"proto-file=

/home/­ubuntu/­model.prototxt","All

Both",,
int8-calib-file,Pathname of the INT8 calibration file for dynamic range adjustment with an FP32 model,String,int8-calib-file=­/home/­ubuntu/­int8_calib,"All

Both",,
batch-size,Number of frames or objects to be inferred together in a batch,"Integer, >0",batch-size=30,"All

Both",,
input-tensor-from-meta,"Use preprocessed input tensors attached as metadata instead of preprocessing inside the plugin. If this is set, ensure that the batch-size of nvinfer is equal to the sum of ROIs set in the gst-nvdspreprocess plugin config file. ",Boolean,input-tensor-from-meta=1,"All

Primary",,
tensor-meta-pool-size,Size of the output tensor meta pool,"Integer, >0",tensor-meta-pool-size=20,"All

Both",,
model-engine-file,Pathname of the serialized model engine file,String,"model-engine-file=

/home/­ubuntu/­model.engine","All

Both",,
onnx-file,Pathname of the ONNX model file,String,"onnx-file=

/home/­ubuntu/­model.onnx","All

Both",,
enable-dbscan,"Indicates whether to use DBSCAN or the OpenCV groupRectangles() function for grouping detected objects.
DEPRECATED. Use cluster-mode instead.",Boolean,enable-dbscan=1,"Detector

Both",,
labelfile-path,Pathname of a text file containing the labels for the model,String,"labelfile-path=

/home/­ubuntu/­model_labels.txt","Detector & classifier

Both",,
mean-file,Pathname of mean data file in PPM format (ignored if input-tensor-meta enabled),String,"mean-file=­

/home/­ubuntu/­model_meanfile.ppm","All

Both",,
gie-unique-id,Unique ID to be assigned to the GIE to enable the application and other elements to identify detected bounding boxes and labels,"Integer, >0",gie-unique-id=2,"All

Both",,
operate-on-gie-id,Unique ID of the GIE on whose metadata (bounding boxes) this GIE is to operate on,"Integer, >0",operate-on-gie-id=1,"All

Both",,
operate-on-class-ids,Class IDs of the parent GIE on which this GIE is to operate on,Semicolon delimited integer array,"operate-on-class-ids=1;2

Operates on objects with class IDs 1, 2 

generated by parent GIE

If operate-on-class-ids is set to -1,

it will operate on all class-ids","All

Both",,
interval,Specifies the number of consecutive batches to be skipped for inference,"Integer, >0",interval=1,"All

Primary",,
input-object-min-width,Secondary GIE infers only on objects with this minimum width,"Integer, ≥0",input-object-min-width=40,"All

Secondary",,
input-object-min-height,Secondary GIE infers only on objects with this minimum height,"Integer, ≥0",input-object-min-height=40,"All

Secondary",,
