Name,Description,Type and Range,Example Notes,"  | Network Types /
  | Applicable to GIEs (Primary/Secondary)"
unique_id,Unique ID identifying metadata generated by this GIE,"uint32, ≥0",unique_id: 1,"  | All 
  | Both"
gpu_ids,Device IDs of GPU to use for pre-processing/inference (single GPU support only),"int32 array, ≥0",gpu_ids: [0],"  | All 
  | Both"
max_batch_size,Max number of frames/objects to be inferred together in a batch,"uint32, ≥0",max_batch_size: 1,"  | All 
  | Both"
backend,Inference backend settings,BackendParams,"``backend {
trt_is { ... }
}``
see details in BackendParams","  | All 
  | Both"
preprocessing,One of preprocess or input_tensor_from_meta. Use preprocess if using frame or object processing mode and input_tensor_from_meta when using preprocessed tensor input mode, preprocess or input_tensor_from_meta," ""N/A. Refer preprocess and input_tensor_from_meta below""","  | All 
  | Both"
preprocess,Network preprocessing settings for color conversion， scale and normalization applicable when using frame or object processing mode,PreProcessParams,"``preprocess {
normalize { … }
}``
see details in PreProcessParams","  | All 
  | Both"
input_tensor_from_meta,Configuration for the input tensor applicable when using preprocessed tensor as input,InputTensorFromMeta,"``input_tensor_from_meta {
is_first_dim_batch : true
}``
see details in InputTensorFromMeta","  | All 
  | Preprocessed tensor input mode"
postprocess,"Inference output tensor parsing methods such as detection, classification, semantic segmentation and others",PostProcessParams,"``postprocess {
detection {...}
}``
see details in PostProcessParams","  | All 
  | Both"
custom_lib,"Specify custom lib path for custom parsing functions and preloads, optional",CustomLib,"``custom_lib {
path : ./libcustom_parsing.so
}``","  | All 
  | Both"
extra,extra controls for inference config.,ExtraControl,"``extra {
output_buffer_pool_size: 2
}``
see details in ExtraControl","  | All 
  | Both"
lstm,"LSTM control parameters, limited on batch-size 1 and single stream","LstmParams
[optional]","``lstm {
  loops {
    input: “init_lstm_c”
    output: “output/lstm_c”
    init_const { value: 0 }
  }
}``
See details in LstmParams","  | All 
  | Both"
clip_object_outside_roi,Clip the object bounding boxes to fit within the specified ROI boundary.,bool,clip_object_outside_roi: false,"  | Detector
  | Both"
