Module,Property,Meaning,Type and Range,Default value, Support Dynamic Updates
Base Config,minDetectorConfidence,Minimum detector confidence for a valid object,"Float,
-inf to inf",minDetectorConfidence: 0.0, True
,checkClassMatch,"If enabled, only same-class objects are associated in DataAssociator, TrajectoryManagement re-association, and MultiViewAssociator","Boolean, [0, 1]",checkClassMatch: 1, False
,useBatchNumForFrameId,"Frame ID source: per-source nvstreammux frame number (0) or tracker batch counter shared by all streams in a batch (1)","Boolean, [0, 1]",useBatchNumForFrameId: 0, False
Control, tracker-reset, soft reset the tracker removing all tracks and track history, Boolean, tracker-reset:0, True
Target Management,preserveStreamUpdateOrder,Whether to ensure target ID update order the same as input stream ID order,Boolean,preserveStreamUpdateOrder: 0, False
,maxTargetsPerStream,Max number of targets to track per stream,"Integer, 0 to 65535",maxTargetsPerStream: 30, False
,minIouDiff4NewTarget,Min IOU to existing targets for discarding new target,"Float,
0 to 1",minIouDiff4NewTarget: 0.5, True
,enableBboxUnClipping,Enable bounding-box unclipping,Boolean,enableBboxUnClipping: 0, True
,probationAge,Length of probationary period in #of frames,"Integer, ≥0",probationAge: 5, True
,maxShadowTrackingAge,Maximum length of shadow tracking,"Integer, ≥0",maxShadowTrackingAge: 38, True
,earlyTerminationAge,Early termination age,"Integer, ≥0",earlyTerminationAge: 2, True
,outputTerminatedTracks,"Output total frame history for terminated tracks to the tracker plugin for downstream usage",Boolean, outputTerminatedTracks: 0, False
,outputShadowTracks,"Output shadow track state information to the tracker plugin for downstream usage",Boolean, outputShadowTracks: 0, False
,outputVisibility,"Output object visibility ratio to object user meta and file dumps",Boolean,outputVisibility: 0, False
,terminatedTrackFilename,"File name prefix to save terminated tracks",String,"terminatedTrackFilename: """"", False
Trajectory Management,useUniqueID,Enable unique ID generation scheme,Boolean,useUniqueID: 0, False
,enableReAssoc,Enable motion-based target re-association,Boolean,enableReAssoc: 0, False
,minMatchingScore4Overall,Min total score for re-association,"Float,
0.0 to 1.0",minMatchingScore4Overall: 0.4, True
